Set Size,Highest Value
28,479
25,494
28,493
35,498
23,430
28,481
21,465
21,500
30,476
32,489
36,484
24,499
22,496
33,492
21,488
27,491
26,464
20,446
20,495

21,449
29,478
27,496
21,473
23,494
31,499
23,425
19,428
25,500
18,497
30,453
24,482
31,489
22,400
25,484
32,495
37,477
27,437
35,487

23,485
23,479
27,424
35,495
24,482
26,493
26,498
31,481
22,490
19,496
28,500
21,474
27,499
31,489
32,437
20,463
29,471
29,477
27,492

28,499
24,478
36,493
22,477
27,490
27,494
24,500
18,485
28,455
29,492
28,495
24,484
33,489
30,491
26,442
26,482
24,497
18,431
28,471

22,481
36,500
32,484
24,475
18,466
23,491
24,480
23,476
29,483
29,496
32,495
21,489
31,492
22,487
27,490
29,498
28,464
29,497
21,494

31,487
26,497
24,457
22,482
25,498
32,464
35,494
28,500
25,453
31,491
28,496
20,499
26,483
24,481
26,489
19,442
27,480
25,469
26,488

16,482
19,493
27,497
29,489
25,495
40,492
28,494
33,473
29,499
36,500
25,483
29,484
23,496
20,445
29,479
25,472
23,488
21,448
23,491

26,497
29,490
21,499
19,493
26,480
35,486
28,451
21,489
18,485
31,498
17,452
29,479
18,488
33,495
34,491
29,462
21,464
35,500
30,496

24,496
27,455
25,408
31,498
30,475
29,481
26,486
25,468
29,495
17,482
21,467
15,454
31,492
30,493
32,500
31,499
28,432
28,470
21,472

27,478
27,493
42,492
28,498
32,496
24,499
21,500
25,483
21,497
23,452
17,495
32,473
34,484
22,494
28,481
34,482
14,485
23,491
26,489

27,496
27,482
24,478
28,471
23,492
31,491
27,424
25,498
21,499
24,470
23,493
24,500
26,475
29,494
25,489
25,497
39,495
30,486
22,479

25,494
30,489
16,492
25,483
30,496
25,473
29,469
21,448
28,493
25,490
29,497
29,499
24,491
24,484
25,481
30,487
29,463
28,500
28,454

14,485
32,499
34,457
27,495
29,478
22,497
30,489
36,481
21,474
21,498
28,458
28,490
22,493
22,491
27,465
25,483
31,496
27,487
24,500

28,477
26,494
22,500
38,493
23,497
23,472
31,464
25,479
25,485
27,490
24,492
21,499
23,458
23,496
38,491
29,461
29,498
21,448
24,483

25,486
17,474
21,494
32,496
26,499
30,491
29,483
28,500
24,498
26,468
34,476
32,477
35,492
13,487
28,449
26,480
26,489
26,493
22,475

23,500
29,495
26,493
16,473
29,488
25,466
34,494
27,499
31,431
26,489
25,484
21,498
22,413
30,490
28,451
20,496
32,483
23,478
33,492

26,498
31,500
25,489
23,484
21,499
22,485
22,490
28,475
25,491
33,496
32,492
29,461
23,473
22,486
28,497
32,467
27,488
27,466
24,493

28,496
28,459
29,498
24,494
31,484
32,489
19,467
26,497
24,499
23,490
29,495
24,483
24,500
23,475
25,465
29,474
28,487
22,488
32,493

21,477
26,499
33,496
23,470
27,414
29,483
24,427
28,486
33,491
37,480
22,453
19,498
27,479
31,500
23,494
24,495
29,497
21,459
23,482

29,492
26,485
30,500
24,480
24,481
29,498
32,482
31,499
32,483
20,491
20,422
19,468
20,471
31,497
22,496
23,488
27,484
30,495
31,466

20,474
22,500
27,492
32,489
33,495
28,496
32,498
29,499
23,471
31,485
19,494
21,493
32,497
33,437
29,483
23,486
18,464
23,470
25,473

22,488
22,489
26,453
27,494
31,495
24,490
33,498
23,462
27,491
26,482
27,475
23,500
26,478
27,451
28,484
21,461
31,499
28,496
28,487

33,487
19,403
26,498
17,458
29,481
29,500
27,471
20,494
23,497
33,483
28,493
23,488
29,499
34,491
25,495
26,463
26,492
28,490
25,485

18,494
24,497
23,469
37,484
29,485
27,499
34,500
32,486
31,493
22,447
26,483
21,471
20,492
34,491
21,498
28,478
27,472
31,490
15,488

27,481
32,479
20,460
25,490
29,499
29,475
17,459
26,498
29,491
26,493
29,496
30,500
25,470
28,478
20,488
29,497
31,494
29,495
19,492

25,498
33,460
16,499
25,484
28,497
25,472
24,489
25,473
29,400
30,494
23,493
39,476
26,488
22,481
25,500
23,496
28,492
30,474
24,444

